id	label	prop	defaultEnabled	defaultValue	risk	owner	ownerReason	explainTitle	explainReason	confidence	values
ocompiler	OPlus 编译器服务	persist.oplus.ocompiler	true	false	safe	ocompiler	owner	OPlus 编译器服务	控制 OPlus 私有编译器服务（ocompiler），MTK 平台常见。false 关闭，减少厂商独立触发编译。	medium	false|true
zygote_c	Zygote C 预加载	persist.oplus.zygote_c.enable	true	false	safe	zygote_c	owner	Zygote C 预加载	控制 OPlus ZygoteC 特性（MTK）。false 关闭，减少额外编译链路。	medium	false|true
zygote_ocomp	Zygote ocomp 优化	persist.oplus.zygote_ocomp	true	false	safe	zygote_ocomp	owner	Zygote ocomp 优化	控制 OPlus Zygote ocomp 优化（MTK）。false 关闭，减少 zygote 阶段编译。	medium	false|true
runtime_dexopt	禁用运行时 dexopt	persist.device_config.runtime.dexopt.enabled	true	false	safe	runtime_dexopt	owner	禁用运行时 dexopt	作用：调整runtime_native 运行时配置中的 persist.device_config.runtime.dexopt.enabled。可选值：关闭（false）、开启（true）。默认值：关闭（false）。	medium	false|true
runtime_bg_dexopt	禁用运行时后台 dexopt	persist.device_config.runtime.bg_dexopt.enabled	true	false	safe	runtime_bg_dexopt	owner	禁用运行时后台 dexopt	控制设备配置文件命名空间的后台 dexopt。false 关闭，减少空闲维护编译。	medium	false|true
runtime_profile_merge	配置项：persist.device_config.runtime.profile_merge	persist.device_config.runtime.profile_merge	true	false	safe	runtime_profile_merge	owner	配置项：persist.device_config.runtime.profile_merge	作用：调整runtime_native 运行时配置中的 persist.device_config.runtime.profile_merge。可选值：关闭（false）、开启（true）。默认值：关闭（false）。	medium	false|true
xiaomi_app_dexfile_preload	小米应用 dex 文件预加载	persist.sys.app_dexfile_preload.enable	true	false	safe	xiaomi_app_dexfile_preload	owner	Xiaomi app dexfile preload	Observed in both Xiaomi logs with true/false variance.	medium	false|true
xiaomi_art_startup_preload	小米 ART 启动预加载	persist.sys.art_startup_class_preload.enable	true	false	safe	xiaomi_art_startup_preload	owner	Xiaomi ART startup preload	Observed in Xiaomi v3.2 capture evidence.	medium	false|true
xiaomi_precache	小米预缓存开关	persist.sys.precache.enable	true	false	safe	xiaomi_precache	owner	Xiaomi precache switch	Observed in both Xiaomi logs with true/false variance.	medium	false|true
xiaomi_precache_appstrs1	小米预缓存应用列表 1	persist.sys.precache.appstrs1	false	com.sina.weibo,com.ss.android.article.news,com.taobao.taobao,com.smile.gifmaker	safe	xiaomi_precache_appstrs1	owner	Xiaomi precache app list 1	Observed in one Xiaomi log.	low	com.sina.weibo,com.ss.android.article.news,com.taobao.taobao,com.smile.gifmaker
xiaomi_precache_appstrs2	小米预缓存应用列表 2	persist.sys.precache.appstrs2	false	com.ss.android.ugc.aweme,com.tencent.mm,tv.danmaku.bili	safe	xiaomi_precache_appstrs2	owner	Xiaomi precache app list 2	Observed in one Xiaomi log.	low	com.ss.android.ugc.aweme,com.tencent.mm,tv.danmaku.bili
xiaomi_precache_appstrs3	小米预缓存应用列表 3	persist.sys.precache.appstrs3	false	com.miui.home,com.android.systemui	safe	xiaomi_precache_appstrs3	owner	Xiaomi precache app list 3	Observed in one Xiaomi log.	low	com.miui.home,com.android.systemui
xiaomi_precache_appstrs4	小米预缓存应用列表 4	persist.sys.precache.appstrs4	false	com.android.settings	safe	xiaomi_precache_appstrs4	owner	Xiaomi precache app list 4	Observed in one Xiaomi log.	low	com.android.settings
xiaomi_precache_number	小米预缓存应用数量	persist.sys.precache.number	false	4	safe	xiaomi_precache_number	owner	Xiaomi precache app count	Observed in one Xiaomi log as 4.	low	0|4
disable_pr_dexopt	禁用 PR dexopt	dalvik.vm.enable_pr_dexopt	true	false	safe	disable_pr_dexopt	owner	禁用 PR dexopt	作用：调整ART / dexopt 运行参数中的 dalvik.vm.enable_pr_dexopt。可选值：关闭（false）、开启（true）。默认值：关闭（false）。	medium	false|true
disable_ota_pr	禁用 OTA 异步 PR	dalvik.vm.pr_dexopt_async_for_ota	true	false	safe	disable_ota_pr	owner	禁用 OTA 异步 PR	禁用 OTA 后异步 pr_dexopt。false 关闭，减少 OTA 后台负载。	medium	false|true
bgdexopt_new_classes	bg-dexopt 新类阈值	dalvik.vm.bgdexopt.new-classes-percent	true	0	safe	bgdexopt_new_classes	owner	bg-dexopt 新类阈值	后台 dexopt 因新增类触发的比例阈值。0 最小触发，10/20 允许一定增量编译。	medium	0|10|20
bgdexopt_new_methods	bg-dexopt 新方法阈值	dalvik.vm.bgdexopt.new-methods-percent	true	0	safe	bgdexopt_new_methods	owner	bg-dexopt 新方法阈值	后台 dexopt 因新增方法触发的比例阈值。0 最小触发，10/20 允许一定增量编译。	medium	0|10|20
pm_boot_after_ota	OTA 后编译策略	pm.dexopt.boot-after-ota	false	speed-profile	caution	pm_boot_after_ota	owner	OTA 后编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.boot-after-ota。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：画像优化（speed-profile）。	medium	verify|speed-profile|speed|everything
pm_mainline	Mainline 更新后编译策略	pm.dexopt.boot-after-mainline-update	false	verify	caution	pm_mainline	owner	Mainline 更新后编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.boot-after-mainline-update。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_install	安装时编译策略	pm.dexopt.install	false	speed-profile	caution	pm_install	owner	安装时编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.install。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：画像优化（speed-profile）。	medium	verify|speed-profile|speed|everything
pm_install_bulk	批量安装编译策略	pm.dexopt.install-bulk	false	speed-profile	caution	pm_install_bulk	owner	批量安装编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.install-bulk。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：画像优化（speed-profile）。	medium	verify|speed-profile|speed|everything
pm_install_bulk_downgraded	批量安装降级包策略	pm.dexopt.install-bulk-downgraded	false	verify	caution	pm_install_bulk_downgraded	owner	批量安装降级包策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.install-bulk-downgraded。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_install_bulk_secondary	批量安装 secondary dex	pm.dexopt.install-bulk-secondary	false	verify	caution	pm_install_bulk_secondary	owner	批量安装 secondary dex	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.install-bulk-secondary。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_install_bulk_secondary_downgraded	批量降级 secondary dex	pm.dexopt.install-bulk-secondary-downgraded	false	verify	caution	pm_install_bulk_secondary_downgraded	owner	批量降级 secondary dex	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.install-bulk-secondary-downgraded。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_install_fast	快速安装路径策略	pm.dexopt.install-fast	false	verify	caution	pm_install_fast	owner	快速安装路径策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.install-fast。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_post_boot	开机后编译策略	pm.dexopt.post-boot	false	verify	caution	pm_post_boot	owner	开机后编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.post-boot。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_first_boot	首次开机编译策略	pm.dexopt.first-boot	false	verify	caution	pm_first_boot	owner	首次开机编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.first-boot。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_shared	共享库编译策略	pm.dexopt.shared	false	speed	caution	pm_shared	owner	共享库编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.shared。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：速度优化（speed）。	medium	verify|speed-profile|speed|everything
pm_inactive	闲置 App 编译策略	pm.dexopt.inactive	false	verify	caution	pm_inactive	owner	闲置 App 编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.inactive。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
pm_ab_ota	A/B OTA 编译策略	pm.dexopt.ab-ota	false	speed-profile	caution	pm_ab_ota	owner	A/B OTA 编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.ab-ota。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：画像优化（speed-profile）。	medium	verify|speed-profile|speed|everything
pm_cmdline	手动触发编译策略	pm.dexopt.cmdline	false	speed-profile	caution	pm_cmdline	owner	手动触发编译策略	作用：调整系统包管理器 dexopt 策略中的 pm.dexopt.cmdline。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：画像优化（speed-profile）。	medium	verify|speed-profile|speed|everything
pm_first_use	首次使用编译策略	pm.dexopt.first-use	false	speed-profile	caution	pm_first_use	owner	First-use dexopt policy	Observed in both Xiaomi v3.2 logs as pm.dexopt.first-use=speed-profile.	medium	verify|speed-profile|speed|everything
pm_dexopt_baseline	基线编译策略	pm.dexopt.baseline	false	speed-profile	caution	pm_dexopt_baseline	owner	Baseline dexopt policy	Observed in one v3.2 capture log as speed-profile.	low	verify|speed-profile|speed|everything
pm_install_create_dm	安装元数据生成策略	pm.dexopt.install-create-dm	false	speed-profile	caution	pm_install_create_dm	owner	Install create-dm policy	Observed in one Xiaomi v3.2 capture log as speed-profile.	low	verify|speed-profile|speed|everything
dex2oat_filter	默认 dex2oat 编译过滤器	dalvik.vm.dex2oat-filter	false	verify	caution	dex2oat_filter	owner	默认 dex2oat 编译过滤器	作用：调整dex2oat 编译器中的 dalvik.vm.dex2oat-filter。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
very_large	超大 APK 编译策略	dalvik.vm.dex2oat-very-large	false	verify	caution	very_large	owner	超大 APK 编译策略	作用：调整dex2oat 编译器中的 dalvik.vm.dex2oat-very-large。可选值：仅校验（verify）、画像优化（speed-profile）、速度优化（speed）、全量 AOT（everything）。默认值：仅校验（verify）。	medium	verify|speed-profile|speed|everything
resolve_startup	启动字符串预解析	dalvik.vm.dex2oat-resolve-startup-strings	false	false	caution	resolve_startup	owner	启动字符串预解析	控制 dex2oat 是否预解析启动路径字符串。false 减少编译工作，true 可能改善冷启动。	medium	false|true
oplus_tempcontrol	温控编译触发	oplus.dex.tempcontrol	false	false	caution	oplus_tempcontrol	owner	温控编译触发	控制 OPlus 温控与编译联动。false 关闭，避免温控额外触发编译。	medium	false|true
dalvik_sync	dalvik 同步任务	sys.oplus.dalvik_sync_config	false	0,0,0,0,0	caution	dalvik_sync	owner	dalvik 同步任务	配置 OPlus dalvik 周期同步参数。关闭可减少后台维护负载。	medium	0,0,0,0,0|1,1,1,1,1
disable_secondary_auto	禁用 secondary 自动编译	dalvik.vm.dexopt.secondary	false	false	caution	disable_secondary_auto	owner	禁用 secondary 自动编译	禁用 secondary dex 自动编译链路。false 关闭自动维护。	medium	false|true
disable_thermal_cutoff	dexopt 温控截断	dalvik.vm.dexopt.thermal-cutoff	false	0	caution	disable_thermal_cutoff	owner	dexopt 温控截断	控制 dexopt 温控截断策略。0 系统默认，修改可能增加持续编译发热。	medium	0|1|2
boot_after_ota_concurrency	OTA 后编译并发数	pm.dexopt.boot-after-ota.concurrency	false	4	caution	boot_after_ota_concurrency	owner	OTA dexopt concurrency	Observed in one v3.2 capture log as 4.	low	1|2|4|6|8
disable_artfile_madvise	ART 文件预读缓存	dalvik.vm.madvise.artfile.size	false	0	caution	disable_artfile_madvise	owner	ART 文件预读缓存	控制 ART madvise 预读缓存大小。0 关闭，极大值增加不确定性。	medium	0|2147483647|4294967295
jit_max_zero	JIT 代码缓存上限	dalvik.vm.jitmaxsize	false	0	caution	jit_max_zero	owner	JIT 代码缓存上限	作用：调整JIT 运行时中的 dalvik.vm.jitmaxsize。可选值：关闭 / 0（0）、64 MB（64m）。默认值：关闭 / 0（0）。	medium	0|64m
profile_save_max	配置项：dalvik.vm.ps-min-save-period-ms	dalvik.vm.ps-min-save-period-ms	false	2147483647	caution	profile_save_max	owner	配置项：dalvik.vm.ps-min-save-period-ms	作用：调整ART / dexopt 运行参数中的 dalvik.vm.ps-min-save-period-ms。可选值：30000（30000）、2147483647（2147483647）。默认值：2147483647（2147483647）。	medium	30000|2147483647
perf_init_bg_threads_zero	perf_init 后台线程数	system_perf_init.bg-dex2oat-threads	false	0	caution	perf_init_bg_threads_zero	owner	perf_init 后台线程数	system_perf_init 阶段后台 dex2oat 线程数。0 不分配，1/2/4 允许对应并发。	medium	0|1|2|4
perf_init_boot_threads_zero	perf_init 开机线程数	system_perf_init.boot-dex2oat-threads	false	0	caution	perf_init_boot_threads_zero	owner	perf_init 开机线程数	system_perf_init 阶段 boot dex2oat 线程数。0 不分配，1/2/4 允许对应并发。	medium	0|1|2|4
perf_init_threads_zero	perf_init 编译线程数	system_perf_init.dex2oat-threads	false	0	caution	perf_init_threads_zero	owner	perf_init 编译线程数	system_perf_init 阶段通用 dex2oat 线程数。0 不分配，1/2/4 允许对应并发。	medium	0|1|2|4
background_dex2oat_threads_zero	后台 dex2oat 线程数	dalvik.vm.background-dex2oat-threads	false	0	caution	background_dex2oat_threads_zero	owner	后台 dex2oat 线程数	dalvik.vm 后台 dex2oat 线程数。0 压制，1/2/4 允许对应并发。	medium	0|1|2|4|5|8
persist_dex2oat_threads_zero	持久 dex2oat 线程数	persist.dalvik.vm.dex2oat-threads	false	0	caution	persist_dex2oat_threads_zero	owner	持久 dex2oat 线程数	persist 持久编译线程数。0 压制并发，1/2/4/8 允许对应线程。	medium	0|1|2|4|8
dex2oat_threads	dex2oat 通用线程数	dalvik.vm.dex2oat-threads	false	4	caution	dex2oat_threads	owner	dex2oat thread count	Observed in all six logs with values 4 or 6.	high	0|1|2|4|5|6|8
default_dex2oat_cpu_set	默认 dex2oat CPU 亲和性	dalvik.vm.default-dex2oat-cpu-set	false	3,4,5,6,7	caution	default_dex2oat_cpu_set	owner	Default dex2oat CPU set	Observed in one v3.2 capture log as 3,4,5,6,7.	low	|0,1,2,3,4,5|3,4,5,6,7|4,5,6,7|0,1,2,3,4,5,6,7
dex2oat_max_image_block	dex2oat 镜像块上限	dalvik.vm.dex2oat-max-image-block-size	false	524288	caution	dex2oat_max_image_block	owner	dex2oat max image block	Observed in all six logs as 524288.	high	262144|524288|1048576
dex2oat64_enabled	启用 dex2oat64	dalvik.vm.dex2oat64.enabled	false	true	caution	dex2oat64_enabled	owner	dex2oat64 enabled	Observed in all six logs as true.	high	false|true
image_dex2oat_xms	镜像 dex2oat 最小堆	dalvik.vm.image-dex2oat-Xms	false	64m	caution	image_dex2oat_xms	owner	image dex2oat Xms	Observed in all six logs as 64m.	high	32m|64m|128m
image_dex2oat_xmx	镜像 dex2oat 最大堆	dalvik.vm.image-dex2oat-Xmx	false	64m	caution	image_dex2oat_xmx	owner	image dex2oat Xmx	Observed in all six logs as 64m.	high	64m|128m|256m
app_image_format	ART 应用镜像格式	dalvik.vm.appimageformat	false	lz4	caution	app_image_format	owner	ART app image format	Observed in five logs as lz4.	medium	lz4|uncompressed
usap_pool_enabled	USAP 池开关	dalvik.vm.usap_pool_enabled	false	false	caution	usap_pool_enabled	owner	USAP pool enabled	Observed in five logs as false.	medium	false|true
usap_pool_refill_delay	USAP 补充延迟	dalvik.vm.usap_pool_refill_delay_ms	false	3000	caution	usap_pool_refill_delay	owner	USAP refill delay	Observed in five logs as 3000.	medium	1000|3000|5000
usap_pool_size_max	USAP 池最大数量	dalvik.vm.usap_pool_size_max	false	3	caution	usap_pool_size_max	owner	USAP pool max size	Observed in five logs as 3.	medium	1|2|3|4|6
usap_pool_size_min	USAP 池最小数量	dalvik.vm.usap_pool_size_min	false	1	caution	usap_pool_size_min	owner	USAP pool min size	Observed in five logs as 1.	medium	0|1|2|3
usap_refill_threshold	USAP 补充阈值	dalvik.vm.usap_refill_threshold	false	1	caution	usap_refill_threshold	owner	USAP refill threshold	Observed in five logs as 1.	medium	1|2|3
runtime_native_usap_pool	runtime_native USAP 池	persist.device_config.runtime_native.usap_pool_enabled	false	true	caution	runtime_native_usap_pool	owner	runtime_native USAP pool	Observed in one v3.2 capture log as true.	low	false|true
dex2oat_cpu_set	配置项：dalvik.vm.dex2oat-cpu-set	dalvik.vm.dex2oat-cpu-set	false		caution	dex2oat_cpu_set	owner	配置项：dalvik.vm.dex2oat-cpu-set	作用：调整dex2oat 编译器中的 dalvik.vm.dex2oat-cpu-set。可选值：（空）、4,5,6,7（4,5,6,7）、0,1,2,3,4,5,6,7（0,1,2,3,4,5,6,7）、0,1,2,3,4,5（0,1,2,3,4,5）、3,4,5,6,7（3,4,5,6,7）。默认值：空（）。	medium	|4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5|3,4,5,6,7
boot_dex2oat_cpu_set	配置项：dalvik.vm.boot-dex2oat-cpu-set	dalvik.vm.boot-dex2oat-cpu-set	false		caution	boot_dex2oat_cpu_set	owner	配置项：dalvik.vm.boot-dex2oat-cpu-set	作用：调整dex2oat 编译器中的 dalvik.vm.boot-dex2oat-cpu-set。可选值：（空）、4,5,6,7（4,5,6,7）、0,1,2,3,4,5,6,7（0,1,2,3,4,5,6,7）、0,1,2,3,4,5（0,1,2,3,4,5）、3,4,5,6,7（3,4,5,6,7）。默认值：空（）。	medium	|4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5|3,4,5,6,7
bg_dex2oat_cpu_set	配置项：dalvik.vm.background-dex2oat-cpu-set	dalvik.vm.background-dex2oat-cpu-set	false		caution	bg_dex2oat_cpu_set	owner	配置项：dalvik.vm.background-dex2oat-cpu-set	作用：调整dex2oat 编译器中的 dalvik.vm.background-dex2oat-cpu-set。可选值：（空）、4,5,6,7（4,5,6,7）、0,1,2,3,4,5,6,7（0,1,2,3,4,5,6,7）、0,1,2,3,4,5（0,1,2,3,4,5）、3,4,5,6,7（3,4,5,6,7）。默认值：空（）。	medium	|4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5|3,4,5,6,7
image_dex2oat_cpu_set	配置项：dalvik.vm.image-dex2oat-cpu-set	dalvik.vm.image-dex2oat-cpu-set	false		caution	image_dex2oat_cpu_set	owner	配置项：dalvik.vm.image-dex2oat-cpu-set	作用：调整dex2oat 编译器中的 dalvik.vm.image-dex2oat-cpu-set。可选值：（空）、4,5,6,7（4,5,6,7）、0,1,2,3,4,5,6,7（0,1,2,3,4,5,6,7）、0,1,2,3,4,5（0,1,2,3,4,5）、3,4,5,6,7（3,4,5,6,7）。默认值：空（）。	medium	|4,5,6,7|0,1,2,3,4,5,6,7|0,1,2,3,4,5|3,4,5,6,7
bg_dex2oat_threads	后台 dex2oat 线程数（短名）	dalvik.vm.bg-dex2oat-threads	false	0	caution	bg_dex2oat_threads	owner	后台 dex2oat 线程数（短名）	另一组后台 dex2oat 线程控制属性（dalvik.vm.bg-dex2oat-threads），与 background-dex2oat-threads 独立。0 压制，1/2/4 允许并发。	medium	0|1|2|4|5|8
image_dex2oat_threads	镜像 dex2oat 线程数	dalvik.vm.image-dex2oat-threads	false	0	caution	image_dex2oat_threads	owner	镜像 dex2oat 线程数	镜像编译阶段 dex2oat 线程数。0 压制，1/2/4/5 允许并发。	medium	0|1|2|4|5|6
boot_dex2oat_threads	开机 dex2oat 线程数	dalvik.vm.boot-dex2oat-threads	false	0	caution	boot_dex2oat_threads	owner	开机 dex2oat 线程数	开机阶段 dex2oat 线程数。0 压制，1/2/4/5 允许并发。	medium	0|1|2|4|5|6
mtk_aggressive_cpu	配置项：ro.vendor.dex2oat-aggressive-cpu-set	ro.vendor.dex2oat-aggressive-cpu-set	false	0,1,2,3,4	caution	mtk_aggressive_cpu	owner	配置项：ro.vendor.dex2oat-aggressive-cpu-set	作用：调整dex2oat 编译器中的 ro.vendor.dex2oat-aggressive-cpu-set。可选值：核心 0-4（0,1,2,3,4）、（空）。默认值：核心 0-4（0,1,2,3,4）。	medium	0,1,2,3,4|
mtk_aggressive_threads	MTK 激进线程数	ro.vendor.dex2oat-aggressive-threads	false	0	caution	mtk_aggressive_threads	owner	MTK 激进线程数	MTK 平台 dex2oat 激进调度线程数。默认 5，设为 0 可压制。	medium	0|5
dex2oat_xms	dex2oat 最小堆	dalvik.vm.dex2oat-Xms	false	64m	caution	dex2oat_xms	owner	dex2oat 最小堆	Covered by v3.2 capture evidence.	medium	32m|64m|128m
dex2oat_xmx	dex2oat 最大堆	dalvik.vm.dex2oat-Xmx	false	512m	caution	dex2oat_xmx	owner	dex2oat 最大堆	Covered by v3.2 capture evidence.	medium	256m|512m|1024m
odex_madvise	odex 预读缓存	dalvik.vm.madvise.odexfile.size	false	0	caution	odex_madvise	owner	odex 预读缓存	odex 文件 madvise 预读阈值。0 关闭缓存，104857600 默认，2147483647 极限。	medium	0|104857600|2147483647
vdex_madvise	vdex 预读缓存	dalvik.vm.madvise.vdexfile.size	false	0	caution	vdex_madvise	owner	vdex 预读缓存	vdex 文件 madvise 预读阈值。0 关闭缓存，104857600 默认，2147483647 极限。	medium	0|104857600|2147483647
profile_first_save	配置项：dalvik.vm.ps-min-first-save-ms	dalvik.vm.ps-min-first-save-ms	false	2147483647	caution	profile_first_save	owner	配置项：dalvik.vm.ps-min-first-save-ms	作用：调整ART / dexopt 运行参数中的 dalvik.vm.ps-min-first-save-ms。可选值：5000（5000）、10000（10000）、2147483647（2147483647）、8000（8000）。默认值：2147483647（2147483647）。	medium	5000|10000|2147483647|8000
use_jit_profiles	使用 JIT 画像	dalvik.vm.usejitprofiles	false	true	caution	use_jit_profiles	owner	JIT profile usage	Observed in one v3.2 capture log as true.	low	false|true
generational_gc	分代 GC 开关	persist.device_config.runtime_native_boot.use_generational_gc	false	true	caution	generational_gc	owner	Generational GC flag	Observed in four logs as true or empty device_config evidence.	medium	false|true
uffd_gc_flag	UFFD GC 禁用标志	persist.device_config.runtime_native_boot.force_disable_uffd_gc	false	false	caution	uffd_gc_flag	owner	UFFD GC disable flag	Observed in four logs as false or empty device_config evidence.	medium	false|true
lock_profiling_flag	锁分析禁用标志	persist.device_config.runtime_native_boot.disable_lock_profiling	false	false	caution	lock_profiling_flag	owner	Lock profiling disable flag	Observed in four logs as false or empty device_config evidence.	medium	false|true
